	mzmed
1230	593.551612260879
1231	594.3967078756681
1232	594.555226302273
1233	595.302988391564
1234	595.4250702287429
1235	596.3340412520861
1236	596.4290885017971
1237	597.203419093737
1238	597.261152598118
1239	597.393814702515
1240	597.411318808962
1241	597.430290165757
1242	597.450492605789
1243	598.396983319525
1244	598.414698338936
1245	598.4336854301799
1246	598.454060574441
1247	598.516522315358
1248	598.505341518455
1249	598.853383418412
1250	599.115507835754
1251	599.15234371655
1252	599.2191127817749
1253	599.351160276599
1254	599.374496744833
1255	599.3919318410119
1256	599.433452343433
1257	599.46277138629
1258	599.502389436464
1259	599.519760574291
1260	599.528676078834
1261	600.227279862895
1262	600.434584004352
1263	600.466430594165
1264	600.531945481473
1265	601.2485565661609
1266	601.443150596766
1267	601.461604058042
1268	601.5163931834111
1269	601.52746074532
1270	602.446591389739
1271	602.465036164171
1272	602.48496281921
1273	602.529395545998
1274	602.913760261017
1275	603.11114842774
1276	603.1533014862471
1277	603.369289378783
1278	603.449415011691
1279	603.464377377879
1280	603.4818867237831
1281	603.475953626216
1282	603.548010636953
1283	604.4655009226329
1284	604.484549700156
1285	604.551331913001
1286	604.871622993862
1287	605.1505020629049
1288	605.169144815099
1289	605.2595148351529
1290	605.479992627313
1291	605.492189733327
1292	606.172397737651
1293	606.481685124257
1294	606.495570892645
1295	606.51617147447
1296	606.574883882328
1297	607.166728799044
1298	607.422267592659
1299	607.494972340284
1300	607.513248590153
1301	607.578700912888
1302	608.425609431524
1303	608.515403860085
1304	608.582077533743
1305	609.393270194003
1306	609.428369463851
1307	609.426610588178
1308	609.450213248101
1309	609.510315061474
1310	609.557689861054
1311	610.51135756474
1312	610.560986808801
1313	611.276785119893
1314	611.398955333672
1315	611.410984877583
1316	611.429231415183
1317	611.440521997228
1318	611.465852809034
1319	611.5023716868831
1320	611.502486956216
1321	611.543657305602
1322	611.5639478088681
1323	612.280314675314
1324	612.328981908112
1325	612.414347053635
1326	612.412218138202
1327	612.469258744645
1328	612.505722812656
1329	613.282735768982
1330	613.407508390717
1331	613.444857998171
1332	613.480849531783
1333	613.50210554098
1334	613.50491745679
1335	613.518046726043
1336	613.517312217264
1337	614.44832250897
1338	614.4846421632969
1339	614.52135970926
1340	614.520943306561
1341	615.449333133542
1342	615.5337291866
1343	616.5372050171441
1344	616.5367550770881
1345	617.154723625947
1346	617.31370494094
1347	617.417319588401
1348	617.49669114905
1349	617.516425568462
1350	617.540388858256
1351	617.549008283031
1352	618.423846191636
1353	619.125372230174
1354	619.1707329818109
1355	619.42226795823
1356	619.494601992864
1357	619.566767997397
1358	619.567463453194
